Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Oct. 10, 2020","Oct. 10, 2020",Run,548,7.11019444608,2900,6.79773870595721,3.50727377117633,8.82643107456,17.10732672,,7554,b'Wet and windy',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4748463217
"Oct. 7, 2020","Oct. 7, 2020",Run,333,4.30142245632,1778,6.889204545454545,2.825760061242345,8.709286924799999,21.233201932799997,,4627,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4739292994
"Sept. 30, 2020","Sept. 30, 2020",Run,319,4.083597745920001,1721,7.0240420941700465,4.863130567485882,8.542092176639999,12.337730000639999,,4471,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4717421740
"Sept. 27, 2020","Sept. 27, 2020",Run,378,4.86763795584,2024,6.930090769903762,5.4374701741827725,8.657868383999999,11.034531509759999,0,5306,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4708120987
"Sept. 23, 2020","Sept. 23, 2020",Run,225,2.95956752256,1162,6.543722162570588,4.47469900779448,9.1690765056,13.408716245759999,,3037,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4697935255
"Sept. 22, 2020","Sept. 22, 2020",Run,328,4.2677388864,1882,7.349702736021634,3.7926695597709377,8.16359056128,15.81998026752,,4872,"b'Hot, dry and slow.'",Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4694781679
"Sept. 20, 2020","Sept. 20, 2020",Run,571,7.53214834944,3360,7.434768452238925,4.367574614252764,8.07015204864,13.737601785599997,,10007,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4689109090
"Sept. 17, 2020","Sept. 17, 2020",Run,421,5.569263659520001,2495,7.466582657281475,5.209507724886661,8.03579255424,11.517399083519999,,6452,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4681629316
"Sept. 15, 2020","Sept. 15, 2020",Run,343,4.37712599808,1854,7.059398115008351,4.61644620416766,8.4992675328,12.99701386368,,4815,b'Hot',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4675651357
"Sept. 12, 2020","Sept. 12, 2020",Run,474,6.04645024896,2569,7.081270380975106,4.6514604708502345,8.473035225599999,12.89918184192,,6670,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4667996251
"Sept. 10, 2020","Sept. 10, 2020",Run,410,5.25254476032,2210,7.012484589994433,3.5723561898512686,8.556190030079998,16.795596787199997,,5743,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4662370012
"Sept. 8, 2020","Sept. 8, 2020",Run,325,4.2735325248,1680,6.551986399427344,0,9.157569696,0,,4390,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4656624883
"Sept. 2, 2020","Sept. 2, 2020",Run,260,3.4730930995200002,1316,6.315243975184919,1.7525774477054004,9.50085886464,34.2352530432,,3450,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4640552710
"Sept. 1, 2020","Sept. 1, 2020",Run,355,4.699558068480001,1818,6.4474096277738004,3.4751985902330387,9.30604777344,17.265203366399998,,4757,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4637599501
"Aug. 28, 2020","Aug. 28, 2020",Run,351,4.652983653120001,1796,6.433118090352342,3.9859346416925154,9.3267117504,15.0529186368,,4700,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4626431806
"Aug. 25, 2020","Aug. 25, 2020",Run,390,5.115187249920001,2031,6.617541060208383,4.459605901535035,9.0668026944,13.454099746559999,,5302,"b'Wet and rainy, but surprisingly pleasant '",Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4618473706
"Aug. 9, 2020","Aug. 9, 2020",Run,336,4.31333160192,1878,7.256559194305257,4.707321741032371,8.26837494912,12.74610104064,,4867,b' Hot ',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4572925483
"July 31, 2020","July 31, 2020",Run,405,5.56437125376,2652,7.943360773085182,3.5582386363636362,7.553456064,16.8622236288,,6827,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4546895494
"July 29, 2020","July 29, 2020",Run,371,4.81422382848,1959,6.781955877674381,4.477153424003817,8.84698239744,13.40137763712,,5104,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4541938030
"July 26, 2020","July 26, 2020",Run,636,8.06859098496,3473,7.173916825737691,3.047744919669132,8.36364811392,19.686783283199997,,9008,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4531009312
"July 23, 2020","July 23, 2020",Run,277,3.54680105472,1489,6.996950310188499,3.599814582836236,8.57519638272,16.667493004799997,,3870,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4524326827
"July 21, 2020","July 21, 2020",Run,546,7.226485643520001,3234,7.458691243140062,4.930480991012487,8.044322077439999,12.16919949696,,8363,b'Hot and hilly',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4518001810
"July 18, 2020","July 18, 2020",Run,500,6.507301996800001,2867,7.343054064264694,4.695702099737533,8.17100963712,12.77764418304,,7423,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4508323096
"July 16, 2020","July 16, 2020",Run,424,5.491773745920001,2246,6.816255567485882,4.33415727153424,8.802500129279998,13.843528807679998,,5849,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4503214729
"July 13, 2020","July 13, 2020",Run,430,5.48292235392,2362,7.17988198918317,4.631390181340969,8.35671184128,12.95507435904,,6126,b'V hot',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4493362918
"July 11, 2020","July 11, 2020",Run,475,6.08909786496,2564,7.018014793605344,4.503642477928895,8.549430785279998,13.322551967999999,,6662,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4487463829
"July 7, 2020","July 7, 2020",Run,407,5.23620991872,2178,6.932514117553488,4.311352948779129,8.6548910976,13.91673786624,,5665,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4476261310
"July 5, 2020","July 5, 2020",Walk,510,9.26188737408,8386,15.090496500437444,3.040437594448421,3.97601309952,19.7339370624,,14221,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4470009718
"July 4, 2020","July 4, 2020",Run,475,6.04297406592,2577,7.1074301081682965,4.21225667104112,8.441862232319998,14.244142809599998,,6689,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4467631792
"July 1, 2020","July 1, 2020",Run,312,4.12481304576,1600,6.464932295394893,3.742413057742782,9.280813259519999,16.03242976896,,4186,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4458170692
"June 29, 2020","June 29, 2020",Run,491,6.42046179456,2844,7.382635409210212,5.035548645907897,8.12717110656,11.915277200639999,,7360,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4451237971
"June 28, 2020","June 28, 2020",Walk,483,9.09145784448,6763,12.398095124473077,5.240104042392428,4.8394583423999995,11.450160691199999,,12405,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4448695930
"June 27, 2020","June 27, 2020",Run,435,5.644371744000001,2301,6.794383301519128,3.977452924918476,8.830824583679998,15.085041143039998,,5994,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4445119303
"June 23, 2020","June 23, 2020",Run,322,4.1228979264,1734,7.009626282510141,1.2489374552612742,8.559650119679999,48.040849612799995,,4506,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4431500188
"June 20, 2020","June 20, 2020",Run,762,10.144306782720001,4591,7.542824902568996,3.9548350135210373,7.954585056,15.171301981439997,,11863,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4422163372
"June 17, 2020","June 17, 2020",Run,335,4.38211496448,1758,6.686264714069832,4.66689533126541,8.973621676799999,12.85650203904,,4586,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4412863444
"June 14, 2020","June 14, 2020",Run,482,6.190406069760001,2584,6.956996142527638,4.935159916090035,8.624410122239999,12.15766050048,,6719,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4401441115
"June 11, 2020","June 11, 2020",Run,351,4.61435939712,1825,6.591754155730533,4.888613000079536,9.1022887296,12.273420614399999,,4766,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4391442322
"June 9, 2020","June 9, 2020",Run,429,5.6322051033600005,2232,6.604865087886742,2.461344498130915,9.08419970304,24.3768945024,,5828,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4384534021
"June 7, 2020","June 7, 2020",Run,357,4.780942594560001,1803,6.285356020838304,1.78559089914897,9.5459848704,33.602298047999994,,4728,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4376184994
"June 3, 2020","June 3, 2020",Run,399,5.168762311680001,2111,6.806934999602323,4.249905551578779,8.81457020928,14.11797024,,5498,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4363348963
"June 2, 2020","June 2, 2020",Bike Ride,299,10.642125162240001,2114,3.310740276783584,1.3685762646146504,18.122822783999997,43.84110551039999,,,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4360641964
